;A: Number of business and general customers;A: Number of private residence customers;A: Number of 'other' customers;A: Number of bulk customers;A: Number of prepaid customers;A: Total number of customers;B: Business and general use;B: Private residential use;B: 'Other' use;B: Bulk use;B: Prepaid use;B: Total use;C: Business & general use growth;C: Private residential use growth;C: 'Other' use growth;C: Bulk use growth;C: Prepaid use growth;C: Unit growth;C: Total revenue: business & general ;Total revenue: Private residences;C: Total revenue: other;C: Total revenue: bulk;C: Total revenue: prepayment;C: Total revenue: total;D: Cents per business and general;D: Cents per private residences;D: Cents per 'other';D: Cents per bulk;D: Cents per prepaid;D: Cents per total;E: E: Use per business and general customer ;E: Use per 'other';E: Use per private and general ;E: Use per bulk;E: Use per prepaid;E: Use per total;F: Rands per business and general customer ;F: Rands per 'other';F: Rands per private and general ;F: Rands per bulk;F: Rands per prepaid;F: Rands per total
1996/1997;34648;298514;1996;690;115903;451751;1428220845;2672469895;191879147;4467818537;180942293;8941330717;0,07;0,06;0,02;0,05;0,38;0,06;343457013;510441750;26281877;665704962;42209335;1588094937;24,0;19,1;13,7;14,9;23,3;17,8;3435;746;8011;539592;130;1649;826;142;1097;80399;30;293
1997/1998;37816;302653;1894;669;134384;477416;1482189609;2736976112;204481477;4574251466;185252692;9183151356;0,04;0,02;0,07;0,02;0,02;0,03;373968739;568935987;28529103;716497239;55664362;1743595430;25,2;20,8;14,0;15,7;30,0;19,0;3266;754;8997;569787;115;1603;824;157;1255;89250;35;304
1998/1999;40996;310811;1798;675;151221;505501;1458813260;2657073205;181010121;4531910454;244605860;9073412900;-0,02;-0,03;-0,11;-0,01;0,32;-0,01;408643217;613826976;30791039;747881450;71865355;1873008037;28,0;23,1;17,0;16,5;29,4;20,6;2965;712;8389;559495;135;1496;831;165;1427;92331;40;309
1999/2000;43238;318525;1749;682;158982;523176;1470443457;2688920844;182979615;4573099876;280478980;9195922772;0,01;0,01;0,01;0,01;0,15;0,01;436274970;655686067;32191903;798197146;84182759;2006532845;29,7;24,4;17,6;17,5;30,0;21,8;2834;703;8718;558785;147;1465;841;172;1534;97531;44;320
2000/2001;40576;319763;1619;754;162839;525551;1604265450;2640769302;197188369;4668286749;296930339;9407440209;0,09;-0,02;0,08;0,02;0,06;0,02;445179115;722925897;35205659;847835582;96138266;2147284519;27,7;27,4;17,9;18,2;32,4;22,8;3295;688;10150;515947;152;1492;914;188;1812;93704;49;340
2001/2002;42199;313244;1537;702;191020;548702;1733881698;2691882060;102439716;4758234877;302677501;9589115852;0,08;0,02;-0,48;0,02;0,02;0,02;547072134;753137505;13405297;883707491;123766823;2321089250;31,6;28,0;13,1;18,6;40,9;24,2;3424;716;5554;564843;132;1456;1080;200;727;104904;54;353
2002/2003;39374;304831;1563;725;187044;533537;1906430575;2860048650;86911187;4780752550;380972540;10015115502;0,10;0,06;-0,15;0,00;0,26;0,04;591530415;824037901;15775113;965030032;134997906;2531371367;31,0;28,8;18,2;20,2;35,4;25,3;4035;782;4634;549512;170;1564;1252;225;841;110923;60;395
2003/2004;42952;307608;1449;734;211784;564527;1912939115;2862123618;132286050;4931845221;451783592;10290977596;0,00;0,00;0,52;0,03;0,19;0,03;619394717;894861179;18036972;1079243856;154263532;2765800256;32,4;31,3;13,6;21,9;34,1;26,9;3711;775;7608;559928;178;1519;1202;242;1037;122530;61;408
2004/2005;44143;310955;1398;739;227895;585130;1900283815;2873337222;140222213;5029924160;514181235;10457948645;0,00;0,00;0,52;0,03;0,19;0,02;672858784;941481632;22214691;1062055560;168477331;2867087998;35,4;32,8;15,8;21,1;32,8;27,4;3542;747;8359;567199;186;1459;1254;252;1324;119763;62;408
2005/2006;42010;314975;1173;748;243549;602455;1887628514;2900907487;123385815;5056990152;587881511;10556793479;-0,07;0,01;-0,12;0,03;0,14;0,01;687641951;981363145;20181773;1153442450;204733254;3047362573;36,4;33,8;16,4;22,8;34,8;28,9;4087;825;8766;563390;196;1509;1489;260;1434;128503;70;422
2006/2007;42980;319516;4;730;254017;617247;2161999564;3006373582;36693199;5105603247;652855481;10963525073;0,15;0,04;-0,70;0,01;0,11;0,04;779362349;1090027087;13433024;1231234899;241183183;3355240542;36,0;36,3;36,6;24,1;36,9;30,6;4192;784;764442;582831;214;1480;1511;284;279855;140552;79;453
2007/2008;44261;323389;4;746;263712;632112;2203077556;3013288241;37605719;5221414480;687805495;11163191492;0,02;0,00;0,02;0,02;0,05;0,02;844191522;1150908334;15189096;1353175863;275381501;3638846315;38,3;38,2;40,4;25,9;40,0;32,6;4148;776;783452;583268;217;1472;1589;297;316439;151159;87;480
2008/2009;44832;326386;4;744;275670;647636;2205258602;2900914449;37677922;5037894890;738475562;10920221425;0,00;-0,04;0,00;-0,04;0,07;-0,02;1075040391;1416756092;19709806;1711042139;377042920;4599591348;48,7;48,8;52,3;34,0;51,1;42,1;4099;741;784957;564280;223;1405;1998;362;410621;191649;114;592
2009/2010;45007;327002;4;769;289946;662728;2662458083;2826464091;39678620;4621341025;774714890;10924656709;0,21;-0,03;0,05;-0,08;0,05;0,00;1391466489;1783179755;25294174;2091798008;494949284;5786687710;52,3;63,1;63,7;45,3;63,9;53,0;4930;720;826638;500796;223;1374;2576;454;526962;226679;142;728
2010/2011;44213;324044;4;821;305977;675059;2921756030;2500569276;41785554;4582863945;789573651;10836548456;0,10;-0,12;0,05;-0,01;0,02;-0,01;1767021296;2153301353;36500000;2658783133;584894116;7200499898;60,5;86,1;87,4;58,0;74,1;66,4;5507;643;870532;465171;215;1338;3331;554;760417;269872;159;889
2011/2012;43879;321904;4;819;333434;700040;2723355860;2495936487;86221641;4666663006;826397419;10798574412;-0,07;0,00;1,06;0,02;0,05;0,00;2064278962;2534662071;51154591;3207748156;695382979;8553226758;75,8;101,6;59,3;68,7;84,1;79,2;5172;646;1796284;474833;207;1285;3920;656;1065721;326389;174;1018
2012/2013;44654;322844;4;888;342705;711095;2367758535;2680118904;95297605;4781979791;819810059;10744964894;-0,13;0,07;0,11;0,02;-0,01;0,00;2232766352;2710411169;51019905;3635164500;757018411;9386380338;94,3;101,1;53,5;76,0;92,3;87,4;4419;692;1985367;448759;199;1259;4167;700;1062915;341138;184;1100
2013/2014;44344;319875;4;959;358411;723593;2263456147;2644041922;112538964;4688943005;840892154;10549872192;-0,04;-0,01;0,18;-0,02;0,03;-0,02;2486098587;2772408183;50940590;3744530467;813908747;9867886574;109,8;104,9;45,3;79,9;96,8;93,5;4254;689;2344562;407451;196;1215;4672;722;1061262;325385;189;1136
2014/2015;44164;311817;4;1009;367483;724477;2042812264;2505800359;118165912;4641845461;878206982;10186830978;-0,10;-0,05;0,05;-0,01;0,04;-0,03;2448927248;2842228419;56883781;4194313701;888967960;10431321108;119,9;113,4;48,1;90,4;101,2;102,4;3855;670;2461790;383370;199;1172;4621;760;1185079;346408;202;1200
2015/2016;44172;310333;4;1040;378456;734005;1968393447;2271613260;124074208;4725934395;894271613;9984286923;-0,04;-0,09;0,05;0,02;0,02;-0,02;2733899709;3135221345;64701771;4666435297;952722585;11552980707;138,9;138,0;52,1;98,7;106,5;115,7;3714;610;2584879;378681;197;1134;5158;842;1347954;373913;210;1312
2016/2017;44196;323313;4;1041;380513;749067;2092228392;2584893483;130277918;4631118430;851776817;10290295040;0,06;0,14;0,05;-0,02;-0,05;0,03;2981864026;3356733252;66229880;4790383781;1147118851;12342329790;142,5;129,9;50,8;103,4;134,7;119,9;3945;666;2714123;370727;187;1145;5622;865;1379789;383476;251;1373
2017/2018;44027;325817;4;1056;397160;768064;2337909908;2470830692;136791814;4448131140;844960856;10238624410;0,12;-0,04;0,05;-0,04;-0,01;-0,01;2960031429;3246065312;67475000;4953528846;1054628796;12281729383;126,6;131,4;49,3;111,4;124,8;120,0;4425;632;2849829;351020;177;1111;5603;830;1405729;390903;221;1333
2018/2019; 44 739 ; 319 335 ; 4 ; 1 070 ; 412 049 ; 777 197 ; 2 378 069 186 ; 2 447 513 532 ; 136 791 814 ; 4 483 985 959 ; 870 381 359 ;10 316 741 850;0,04;0,01;0,02;-0,01;0,00;0,01;2931255844;3413458247;76293983;5271702988;1301576143;12917993222;123,3;139,5;55,8;117,6;149,5;125,2;4430;639;2849829;349220;176;1106;5460;891;1589458;410569;263;1385
